conditionId,name,description,severity,treatment
156,Suspected child abuse,"Child abuse, unspecified",,
157,Hypokalemia,Hypopotassemia,,
158,Angina - recurrent,Other and unspecified angina pectoris,,
159,Glaucoma - combined mechanism,Primary open angle glaucoma,,
160,Hepatomegaly,Hepatomegaly,,
161,AAA repair,,,
162,Major depression - recurrent,"Major depressive disorder, recurrent episode, unspecified degree",,
163,Chorioretinitis,"Chorioretinitis, unspecified",,
164,Berry aneurysm,Subarachnoid hemorrhage,,
165,Cutaneous B cell lymphoma,"Nodular lymphoma, unspecified site, extranodal and solid organ sites",,
166,Acropustulosis - infantile,Other psoriasis and similar disorders excluding psoriatic arthropathy,,
167,Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,,
168,Lichen simplex chronicus,Lichenification and lichen simplex chronicus,,
169,Hartnup disease,Disturbances of amino-acid transport,,
170,Neuroleptic malignant syndrome,,,
171,Circumcision,Unspecified elective surgery for purposes other than remedying health states,,
172,Postconcussion syndrome,Postconcussion syndrome,,
173,Thoracic spondylosis,Thoracic spondylosis without myelopathy,,
174,Mental retardation,Unspecified mental retardation,,
175,Neurosis,Unspecified nonpsychotic mental disorder,,
176,Hypertension with pregnancy,"Unspecified hypertension complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care",,
177,Alveolar proteinosis,Pulmonary alveolar proteinosis,,
178,Myeloid maturation arrest,,,
179,Lymphocytic leukemia - chronic,Chronic lymphoid leukemia without mention of remission,,
180,Hemangioma,Hemangioma of other sites,,
181,Giant cell tumor of bone,Neoplasm of uncertain behavior of bone and articular cartilage,,
182,Hepatitis exposure,Contact with or exposure to unspecified communicable disease,,
183,Fasciectomy,,,
184,Reye's syndrome,Reye's syndrome,,
185,Median neuropathy,Carpal tunnel syndrome,,
186,Arteriosclerosis,Generalized and unspecified atherosclerosis,,
187,Ulnar neuropathy,Lesion of ulnar nerve,,
188,Fanconi syndrome,Disturbances of amino-acid transport,,
189,Hypothermia,Hypothermia,,
190,Cystic fibrosis,Cystic fibrosis without mention of meconium ileus,,
191,Hematuria - gross,Hematuria,,
192,Trochlear nerve palsy,Fourth or trochlear nerve palsy,,
193,Colonic volvulus,Volvulus,,
194,Colitis - ischemic,Unspecified vascular insufficiency of intestine,,
195,Necrotizing enterocolitis,,,
196,Toxicity - digitalis,Poisoning by cardiotonic glycosides and drugs of similar action,,
197,Hyperlipoproteinemia (type V),,,
198,Finger pain,Pain in limb,,
199,Finger sprain,Sprain of unspecified site of hand,,
200,Tubular adenocarcinoma,Other malignant neoplasm of unspecified site,,
201,Adenoma - tubular,Benign neoplasm of unspecified site,,
202,Tonsillitis - acute,Acute tonsillitis,,
203,Hyperplastic marrow,Unspecified diseases of blood and blood-forming organs,,
204,Knee arthroplasty - total,,,
205,Anemia - myelophthisic,Other specified anemias,,
206,Oophorectomy,,,
207,Vertebral burst fracture,,,
208,Histiocytoma - atypical fibrous,Neoplasm of uncertain behavior of connective and other soft tissue,,
209,Granuloma annulare,Other specified erythematous conditions,,
210,Jejunostomy tube,,,
211,Verruca plantaris,Other specified viral warts,,
212,Lower leg/knee instability,"Other joint derangement, not elsewhere classified, involving lower leg",,
213,Shoulder instability,"Other joint derangement, not elsewhere classified, involving shoulder region",,
214,Lymphangioma,"Lymphangioma, any site",,
215,Hemangiopericytoma - malignant,"Malignant neoplasm of connective and other soft tissue, site unspecified",,
216,Acromegaly,Acromegaly and gigantism,,
217,Erythema multiforme,Erythema multiforme,,
218,Psoriasis,Other psoriasis and similar disorders excluding psoriatic arthropathy,,
219,Lower gastrointestinal bleeding,"Hemorrhage of gastrointestinal tract, unspecified",,
220,Thyroid cyst,Cyst of thyroid,,
221,Alcohol abuse - continuous,"Alcohol abuse, continuous drinking behavior",,
222,Vasovagal attack,Syncope and collapse,,
223,Pyloric obstruction,Acquired hypertrophic pyloric stenosis,,
224,Adenosquamous carcinoma,Other malignant neoplasm of unspecified site,,
225,Thyroglossal cyst,,,
226,Thyroid bruit,,,
227,Bladder stone,Other calculus in bladder,,
228,Organic brain syndrome,Unspecified persistent mental disorders due to conditions classified elsewhere,,
229,Nocturnal dyspnea,Other dyspnea and respiratory abnormality,,
230,Aortic valve abnormality,Aortic valve disorders,,
231,Arteriovenous fistula,"Arteriovenous fistula, acquired",,
232,Lateral meniscus tear,"Tear of lateral cartilage or meniscus of knee, current",,
233,Dyslexia,Alexia and dyslexia,,
234,Cartilage disorder,"Disorder of bone and cartilage, unspecified",,
235,Social phobia,Social phobia,,
236,Nasolacrimal duct obstruction,"Stenosis of nasolacrimal duct, acquired",,
237,Radius fracture,"Fracture of unspecified part of radius (alone), closed",,
238,Paronychia,Onychia and paronychia of finger,,
239,Prurigo of pregnancy,Other specified pruritic conditions,,
240,Failure to thrive,Failure to thrive,,
241,Muscle strain,Unspecified site of sprain and strain,,
242,Hyperlipoproteinemia (type IV),,,
243,Serous cystadenocarcinoma,Malignant neoplasm of ovary,,
244,Bronchopulmonary dysplasia,Chronic respiratory disease arising in the perinatal period,,
245,Striae,Striae atrophicae,,
246,Hypertension - essential,Unspecified essential hypertension,,
247,Meningismus,Meningismus,,
248,Myoclonus,Myoclonus,,
249,Cervical vertebra fracture,,,
250,Creutzfeldt-Jakob disease,Jakob-Creutzfeldt disease,,
251,Cervical dysplasia,"Dysplasia of cervix, unspecified",,
252,Melanoma - nodular,"Melanoma of skin, site unspecified",,
253,Dysphagia,Dysphagia,,
254,Chondromalacia,Chondromalacia,,
255,Alkaptonuria,Other disturbances of aromatic amino-acid metabolism,,
256,Below knee amputation,"Traumatic amputation of leg(s) (complete) (partial), unilateral, below knee, without mention of complication",,
257,Lower back pain,Lumbago,,
258,Pyuria,"Urinary tract infection, site not specified",,
259,Linear immunoglobulin A dermatosis,Other specified bullous dermatoses,,
260,Intraepithelial lesion - squamous,,,
261,Pemphigus,Pemphigus,,
262,Cirrhosis - micronodular,Cirrhosis of liver without mention of alcohol,,
263,Dermatographism,Dermatographic urticaria,,
264,Hypothyroidism,Unspecified hypothyroidism,,
265,Infectious mononucleosis,Infectious mononucleosis,,
266,Epistaxis,Epistaxis,,
267,Gastrointestinal perforation,"Chronic or unspecified gastric ulcer with perforation, without mention of obstruction",,
268,Myocardial infarction,"Acute myocardial infarction, unspecified site, episode of care unspecified",,
269,Pheochromocytoma,Benign neoplasm of adrenal gland,,
270,Lower leg injury,"Other and unspecified injury to knee, leg, ankle, and foot",,
271,Genitourinary surgery,Attention to other artificial opening of urinary tract,,
272,Sacroiliac sprain,,,
273,Weight loss,Loss of weight,,
274,Amyloid,"Amyloidosis, unspecified",,
275,Melasma,Other dyschromia,,
276,Glomerulonephritis - post-infectious,Acute glomerulonephritis with lesion of proliferative glomerulonephritis,,
277,Urinary stress incontinence - female,"Stress incontinence, female",,
278,Q fever,Q fever,,
279,Rabies,Rabies,,
280,Rubella syndrome,Congenital rubella,,
281,Microcephaly,Microcephalus,,
282,Pruritus genitalia,Pruritus of genital organs,,
283,Laxative abuse,"Other, mixed, or unspecified drug abuse, unspecified use",,
284,Renal cyst - acquired,"Cyst of kidney, acquired",,
285,Glomerulonephritis - membranous,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranous glomerulonephritis",,
286,HELLP syndrome,,,
287,Hyperosmolality,Hyperosmolality and/or hypernatremia,,
288,Autism,"Infantile autism, residual state",,
289,Prinzmetal's angina,Prinzmetal angina,,
290,Lymphangiectasis,Other lymphedema,,
291,Elbow fracture,"Fracture of unspecified part of lower end of humerus, closed",,
292,Clavicle fracture,"Closed fracture of clavicle, unspecified part",,
293,Splenic rupture,Other diseases of spleen,,
294,Bronchitis - acute,Acute bronchitis,,
295,Artery surgery,,,
296,Vulva cancer,"Malignant neoplasm of vulva, unspecified",,
297,Diskectomy,,,
298,Thoracentesis,,,
299,Gastrectomy - subtotal,,,
300,Histocytosis,"Malignant histiocytosis, unspecified site, extranodal and solid organ sites",,
301,Throat cancer,"Malignant neoplasm of pharynx, unspecified",,
302,Spermatocele,,,
303,Cough,Cough,,
304,Hypertension - malignant essential,Malignant essential hypertension,,
305,Bladder - neurogenic,Neurogenic bladder NOS,,
306,Vasectomy,,,
307,Esophagitis,"Esophagitis, unspecified",,
308,Meningeal carcinomatosis,,,
309,Olivopontocerebellar atrophy,,,
310,Meningococcemia,Meningococcemia,,
311,Dermatofibrosarcoma,"Other malignant neoplasm of skin, site unspecified",,
312,Scurvy,,,
313,Abortion,"Unspecified type of abortion, unspecified, without mention of complication",,
314,Coccidiomycosis,"Coccidioidomycosis, unspecified",,
315,Gastrectomy - total,,,
316,Hip dislocation,"Closed dislocation of hip, unspecified site",,
317,Amnesia,Dissociative amnesia,,
318,Refractive error,Unspecified disorder of refraction and accommodation,,
319,Klinefelter syndrome,Klinefelter's syndrome,,
320,Granuloma - necrotizing,,,
321,Conjunctivitis,"Conjunctivitis, unspecified",,
322,Family problem,Unspecified family circumstance,,
323,Eye burning,,,
324,Heart valve - mechanical,Replacement of unspecified heart valve,,
325,Thoracic surgery,,,
326,Pyloroplasty-vagotomy,,,
327,Barrett's esophagus,Barrett's esophagus,,
328,Hepatic adenoma,Benign neoplasm of liver and biliary passages,,
329,Hand fracture,"Closed fracture of metacarpal bone(s), site unspecified",,
330,Photophobia,,,
331,Rotator cuff tear,Rotator cuff (capsule) sprain,,
332,Cholangitis,Cholangitis,,
333,Bronchiectasis,Bronchiectasis without acute exacerbation,,
334,Cervix disorder,,,
335,Tropical sprue,Tropical sprue,,
336,Tachybrady syndrome,Sinoatrial node dysfunction,,
337,Sleep apnea,"Insomnia with sleep apnea, unspecified",,
338,Neoplasm - benign,Benign neoplasm of unspecified site,,
339,Prostate disorder,,,
340,Pancreatic pseudocyst,Cyst and pseudocyst of pancreas,,
341,Pancreatic mass,Unspecified disease of pancreas,,
342,Poikiloderma,Other dyschromia,,
343,Aortic dissection,"Dissecting aneurysm of aorta, unspecified site",,
344,Cutaneous horn,Other specified dermatoses,,
345,Odontogenic tumor - malignant,Malignant neoplasm of mandible,,
346,Ear foreign body,Foreign body in ear,,
347,Cervical adenitis,"Lymphadenitis, unspecified, except mesenteric",,
348,Branchial cleft cyst,,,
349,Pneumocephalus,,,
350,Jessner's lymphocytic infiltration of the skin,,,
351,Sinusitis - acute,"Acute sinusitis, unspecified",,
352,Renal disease - pregnancy associated,"Unspecified renal disease in pregnancy, unspecified as to episode of care",,
353,Leydig cell tumor - benign,,,
354,Gastro-jejunostomy tube placement,,,
355,Leg infection,Unspecified local infection of skin and subcutaneous tissue,,
356,Brain malignancy,,,
357,Tendon injury,,,
358,Apnea,Apnea,,
359,Previous surgery,,,
360,Craniotomy,,,
361,Sympathetic dystrophy - reflex,,,
362,Hemoglobinopathy,Other hemoglobinopathies,,
363,Anemia - aplastic,"Aplastic anemia, unspecified",,
364,Chest trauma,"Open wound of chest (wall), without mention of complication",,
365,Morphea,Circumscribed scleroderma,,
366,Shoulder dislocation,,,
367,Horner's syndrome,Unspecified disorder of autonomic nervous system,,
368,Hydronephrosis,Hydronephrosis,,
369,Thoracic vertebra fracture,,,
370,Color blindness,,,
371,Lymphangiosarcoma,"Malignant neoplasm of connective and other soft tissue, site unspecified",,
372,Fever - unknown origin (FUO),Fever,,
373,Elastosis,Other specified hypertrophic and atrophic conditions of skin,,
374,Epithelial inclusion cyst,Sebaceous cyst,,
375,Angina - Ludwig's,Cellulitis and abscess of oral soft tissues,,
376,Pulmonary vein congestion,,,
377,Dry eye syndrome,"Tear film insufficiency, unspecified",,
378,Vaginal laceration,,,
379,Epidural hematoma,Nontraumatic extradural hemorrhage,,
380,Lentigo maligna melanoma,"Melanoma of skin, site unspecified",,
381,Gangrene,Gangrene,,
382,Hypernatremia,Hyperosmolality and/or hypernatremia,,
383,Cerebral edema,Cerebral edema,,
384,Optic atrophy,"Optic atrophy, unspecified",,
385,Mitral stenosis,Mitral stenosis,,
386,Tourette syndrome,Tourette's disorder,,
387,Club foot,"Talipes, unspecified",,
388,Generalized anxiety disorder,Generalized anxiety disorder,,
389,Anemia - pernicious,Pernicious anemia,,
390,Small bowel abnormality,,,
391,Ureter obstruction,Other ureteric obstruction,,
392,Kidney absent,Other specified disorders of kidney and ureter,,
393,Colitis - amebic,"Amebiasis, unspecified",,
394,Renal tuberculosis,"Tuberculosis of kidney, unspecified examination",,
395,Sinusitis - chronic,Unspecified sinusitis (chronic),,
396,Ovarian abscess,"Salpingitis and oophoritis not specified as acute, subacute, or chronic",,
397,Tobacco chewer,,,
398,Oligohydramnios,"Oligohydramnios, unspecified as to episode of care",,
399,Precocious puberty,"Precocious sexual development and puberty, not elsewhere classified",,
400,Trichiasis,Trichiasis of eyelid without entropion,,
401,Diabetes mellitus,"type II diabetes mellitus [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, without mention of complication",,
402,Breast disease - fibrocystic,Diffuse cystic mastopathy,,
403,Seizures - complex partial,"Partial epilepsy, with impairment of consciousness, without mention of intractable epilepsy",,
404,Bartonellosis,Bartonellosis,,
405,Sinus clouding,,,
406,Neuropathy - diabetic,"Diabetes mellitus type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type, not stated as uncontrolled, with neurological manifestations",,
407,Cardiomegaly,Cardiomegaly,,
408,Migraine,"Migraine, unspecified, without mention of intractable migraine",,
409,Diabetic nephropathy - juvenile uncontrolled,"Diabetes mellitus type I [juvenile type], uncontrolled, with renal manifestations",,
410,Head injury,"Head injury, unspecified",,
411,Thrombocytopenia,"Thrombocytopenia, unspecified",,
412,Syringomyelia,Syringomyelia and syringobulbia,,
413,Extremity plastic surgery,,,
414,Decubitus surgery,,,
415,Galactorrhea,Galactorrhea not associated with childbirth,,
416,Tonsils - large,Hypertrophy of tonsils alone,,
417,Abducens nerve palsy,Sixth or abducens nerve palsy,,
418,Subdural empyema,,,
419,Spinal cord transection,,,
420,Nephrotic syndrome,Nephrotic syndrome with unspecified pathological lesion in kidney,,
421,Peripheral neuropathy,Unspecified idiopathic peripheral neuropathy,,
422,Pediculosis corporis,Pediculus corporis [body louse],,
423,Proctitis,Other specified disorders of rectum and anus,,
424,Calcaneal spur,Calcaneal spur,,
425,Gingivosis,"Chronic gingivitis, plaque induced",,
426,Erythema toxicum,Toxic erythema,,
427,Chronic myelocytic leukemia,Chronic myeloid leukemia without mention of remission,,
428,Neoplasia,,,
429,Myocardial contusion,Contusion of heart without mention of open wound into thorax,,
430,Synovitis,"Synovitis and tenosynovitis, unspecified",,
431,Squamous cell papilloma,,,
432,Depression,"Depressive disorder, not elsewhere classified",,
433,Sneezing,Postnasal drip,,
434,Ephelis,Other dyschromia,,
435,Bone pain,"Disorder of bone and cartilage, unspecified",,
436,Parotitis,Sialoadenitis,,
437,Uvula - deviated,,,
438,Plasma cell myeloma,Plasma cell leukemia without mention of remission,,
439,Adrenal cancer,Malignant neoplasm of adrenal gland,,
440,Insulinoma,Benign neoplasm of islets of Langerhans,,
441,Arthrocentesis,,,
442,Gastrointestinal motility disorder,,,
443,Elbow dislocation,,,
444,Respiratory failure,Acute respiratory failure,,
445,Aniseikonia,Aniseikonia,,
446,Superior sagittal sinus thrombosis,Phlebitis and thrombophlebitis of intracranial venous sinuses,,
447,Henoch-Schonlein purpura,Allergic purpura,,
448,Bone metastases,Secondary malignant neoplasm of bone and bone marrow,,
449,Leptospirosis,"Leptospirosis, unspecified",,
450,Schizoaffective disorder,,,
451,Achlorhydria,Achlorhydria,,
452,Toxicity - alcohol,Toxic effect of unspecified alcohol,,
453,Hypoglycemia,"Hypoglycemia, unspecified",,
454,Eosinophilia,Eosinophilia,,
455,Lichen planus,Lichen planus,,
456,Pityriasis rosea,Pityriasis rosea,,
457,Gastric emptying - delayed,,,
458,Esophageal cancer,"Malignant neoplasm of esophagus, unspecified",,
459,Pneumothorax,Other spontaneous pneumothorax,,
460,ACTH syndrome - ectopic,Cushing's syndrome,,
461,Cervical root compression,"Cervical root lesions, not elsewhere classified",,
462,Endometriosis,"Endometriosis, site unspecified",,
463,Glomerulonephritis - membranoproliferative,"Nephritis and nephropathy, not specified as acute or chronic, with lesion of membranoproliferative glomerulonephritis",,
464,Mohs surgery,,,
465,Rocky Mountain spotted fever,Spotted fevers,,
466,Brenner tumor - benign,Benign neoplasm of ovary,,
467,Myelolipoma,Benign neoplasm of unspecified site,,
468,Bladder - large,,,
469,Tattoo,Other dyschromia,,
470,Pelvic mass,"Abdominal or pelvic swelling, mass, or lump, unspecified site",,
471,Joint contracture,"Contracture of joint, site unspecified",,
472,Cardiomyopathy,"Secondary cardiomyopathy, unspecified",,
473,Peripheral vascular disease,"Peripheral vascular disease, unspecified",,
474,Glaucoma - congenital,"Buphthalmos, unspecified",,
475,Narcolepsy,"Narcolepsy, without cataplexy",,
476,Pneumocystis carinii pneumonia (PCP),Pneumocystosis,,
477,Factor XII deficiency,Congenital deficiency of other clotting factors,,
478,Cataract,Unspecified cataract,,
479,Renal rupture,,,
480,Hepatic rupture,"Laceration of liver, major, without mention of open wound into cavity",,
481,Lipoma,"Lipoma, unspecified site",,
482,Impaction - fecal,Other impaction of intestine,,
483,Senile lentigo,,,
484,Prostatitis,"Prostatitis, unspecified",,
485,Pericarditis - acute,,,
486,Small cell carcinoma,Other malignant neoplasm of unspecified site,,
487,Pilomatrixoma,"Benign neoplasm of skin, site unspecified",,
488,Erythema infectiosum,Erythema infectiosum [fifth disease],,
489,Travelers' diarrhea,Infectious diarrhea,,
490,Leg numbness,Disturbance of skin sensation,,
491,Anemia - refractory,"Aplastic anemia, unspecified",,
492,Lobular adenocarcinoma,"Malignant neoplasm of breast (female), unspecified",,
493,Stroke,"Acute, but ill-defined cerebrovascular disease",,
494,Vascular malformation,,,
495,Heart murmur,Undiagnosed cardiac murmurs,,
496,Glucose intolerance,Impaired fasting glucose,,
497,Abdominal abscess,Cellulitis and abscess of trunk,,
498,Rosacea,Rosacea,,
499,Metastatic adenocarcinoma,Other malignant neoplasm of unspecified site,,
500,Neck pain,Cervicalgia,,
501,Pharyngeal erythema,Unspecified disease of pharynx,,
502,Atelectasis,Pulmonary collapse,,
503,Dermatitis herpetiformis,Dermatitis herpetiformis,,
504,Tick bite,,,
505,Pediculosis,"Pediculosis, unspecified",,
506,Bartholin's gland cyst,Cyst of Bartholin's gland,,
507,Hip or thigh injury,Other and unspecified injury to hip and thigh,,
508,Basal cell cancer,"Other malignant neoplasm of skin, site unspecified",,
509,Descending perineum syndrome,,,
510,Sinus arrhythmia,"Cardiac dysrhythmia, unspecified",,
511,Myeloid hypoplasia,"Aplastic anemia, unspecified",,
512,Polyp - adenomatous,Benign neoplasm of unspecified site,,
513,Plantar fasciitis,Plantar fascial fibromatosis,,
514,Parathyroidectmy,,,
515,Keratoderma - acquired,"Keratoderma, acquired",,
516,Rectal pain,Anal or rectal pain,,
517,Chronic obstructive pulmonary disease,Unspecified chronic bronchitis,,
518,Hypochondriasis,,,
519,Medullary sponge kidney,Medullary sponge kidney,,
520,Cheilitis - actinic,Acute dermatitis due to solar radiation,,
521,Cardiac injury,Traumatic hemothorax without mention of open wound into thorax,,
522,Tracheomalacia,Acute bronchospasm,,
523,Somnolence,Other alteration of consciousness,,
524,Purpura simplex,Other nonthrombocytopenic purpuras,,
525,Trauma - minor,Other and unspecified injury to unspecified site,,
526,Penile ulcer,Other specified disorders of penis,,
527,Ethanol withdrawal,Alcohol withdrawal,,
528,Poikiloderma atrophicans,Parapsoriasis,,
529,Dizziness,Dizziness and giddiness,,
530,Dextrocardia,Malposition of heart and cardiac apex,,
531,Xanthelasma,,,
532,Weber-Christian disease,"Panniculitis, unspecified site",,
